stock,strategy,trades,wins,win_rate,avg_ret,total_ret,bh_ret
POWERGRID,FIB_S1_BOUNCE_LONG,34,17,0.5,0.0006591855295599715,0.02171856919149584,0.005253940455341555
POWERGRID,FIB_R1_BOUNCE_SHORT,39,19,0.48717948717948717,0.001949606320965525,0.07784259711608477,0.005253940455341555
POWERGRID,CAM_L3_LONG,42,20,0.47619047619047616,0.001876163545678018,0.080069927708605,0.005253940455341555
POWERGRID,CAM_S3_SHORT,40,20,0.5,0.0017492765435662724,0.07087190788800601,0.005253940455341555
POWERGRID,CAM_R4_BREAKOUT_LONG,17,6,0.35294117647058826,-0.0032771605757193883,-0.05452674200510377,0.005253940455341555
POWERGRID,CAM_S4_BREAKDOWN_SHORT,18,4,0.2222222222222222,-0.004772359302797285,-0.08300770570227145,0.005253940455341555
M&M,STD_S1_BOUNCE_LONG,31,14,0.45161290322580644,0.00010380149653309256,0.0010163165109839944,-0.07486153846153853
M&M,STD_R1_BOUNCE_SHORT,27,10,0.37037037037037035,-0.002534784149314587,-0.0675817528254804,-0.07486153846153853
M&M,STD_R1_BREAKOUT_LONG,23,13,0.5652173913043478,-0.0007241003526758502,-0.0178283710849938,-0.07486153846153853
M&M,STD_S1_BREAKDOWN_SHORT,28,13,0.4642857142857143,-0.0017327728789770156,-0.04848314629580486,-0.07486153846153853
M&M,FIB_S1_BOUNCE_LONG,37,21,0.5675675675675675,0.0025348944552048072,0.09702011264620958,-0.07486153846153853
M&M,FIB_R1_BOUNCE_SHORT,32,15,0.46875,0.001049819039717806,0.032923590884972986,-0.07486153846153853
M&M,CAM_L3_LONG,42,22,0.5238095238095238,0.0021060507904836043,0.09023825545247655,-0.07486153846153853
M&M,CAM_S3_SHORT,35,17,0.4857142857142857,0.0015995822451563121,0.055472096034192564,-0.07486153846153853
M&M,CAM_R4_BREAKOUT_LONG,23,13,0.5652173913043478,-0.0009824292295003772,-0.02346299375814087,-0.07486153846153853
M&M,CAM_S4_BREAKDOWN_SHORT,27,10,0.37037037037037035,-0.0016900174843300722,-0.04563985025673378,-0.07486153846153853
JSWSTEEL,STD_S1_BOUNCE_LONG,28,17,0.6071428571428571,0.0011549660848401342,0.03133122502319008,0.06400665004156281
JSWSTEEL,STD_R1_BOUNCE_SHORT,31,13,0.41935483870967744,-0.0009942752394386208,-0.03152348550747852,0.06400665004156281
JSWSTEEL,STD_R1_BREAKOUT_LONG,26,14,0.5384615384615384,-0.0008343008486121393,-0.02222857329041772,0.06400665004156281
JSWSTEEL,STD_S1_BREAKDOWN_SHORT,24,12,0.5,-0.001644582469547582,-0.03960240587901487,0.06400665004156281
JSWSTEEL,FIB_S1_BOUNCE_LONG,29,8,0.27586206896551724,-0.002822235855692201,-0.07915648051999169,0.06400665004156281
JSWSTEEL,FIB_R1_BOUNCE_SHORT,38,21,0.5526315789473685,0.00040502187761288025,0.014711555884311833,0.06400665004156281
JSWSTEEL,CAM_L3_LONG,35,16,0.45714285714285713,-0.00012203802716540019,-0.005383554698421111,0.06400665004156281
JSWSTEEL,CAM_S3_SHORT,43,17,0.3953488372093023,-0.0010667374454424565,-0.045935622353358574,0.06400665004156281
