stock,strategy,trades,wins,win_rate,avg_ret,total_ret,bh_ret
HINDUNILVR,CAM_BREAK_LONG,8,4,0.5,0.0008932585736891874,0.006341720407645024,-0.011437207937362248
ITC,STD_BOUNCE_LONG,23,8,0.34782608695652173,-0.004112897760358836,-0.09135059761779751,-0.073039235632404
ITC,STD_BOUNCE_SHORT,22,10,0.45454545454545453,-0.001405367396821324,-0.03136239891203918,-0.073039235632404
ITC,STD_BREAK_LONG,11,4,0.36363636363636365,-0.0037854695557291355,-0.04113485025395247,-0.073039235632404
ITC,FIB_BOUNCE_LONG,29,14,0.4827586206896552,-0.002357938725457849,-0.06778802398169048,-0.073039235632404
ITC,FIB_BOUNCE_SHORT,22,8,0.36363636363636365,-0.003169135561054228,-0.06831252161795631,-0.073039235632404
ITC,CAM_L3_LONG,29,11,0.3793103448275862,-0.000263620451220762,-0.008254265686575502,-0.073039235632404
ITC,CAM_S3_SHORT,24,7,0.2916666666666667,-0.0014139452378280756,-0.0337465542665214,-0.073039235632404
ITC,CAM_BREAK_LONG,11,4,0.36363636363636365,-0.0033353662686805637,-0.036393362187070344,-0.073039235632404
SBIN,STD_BOUNCE_LONG,17,7,0.4117647058823529,-0.007148792858984183,-0.11778208958779235,-0.08670914883932634
SBIN,STD_BOUNCE_SHORT,20,11,0.55,0.0011325695565746973,0.02213901123208606,-0.08670914883932634
SBIN,STD_BREAK_LONG,11,4,0.36363636363636365,-0.0009103151715149537,-0.011464060997286918,-0.08670914883932634
SBIN,FIB_BOUNCE_LONG,17,7,0.4117647058823529,-0.004714847510946503,-0.08077142864725984,-0.08670914883932634
SBIN,FIB_BOUNCE_SHORT,23,11,0.4782608695652174,-0.001217383233587318,-0.028473199066349708,-0.08670914883932634
SBIN,CAM_L3_LONG,21,11,0.5238095238095238,0.002823501217752687,0.05950249558773191,-0.08670914883932634
SBIN,CAM_S3_SHORT,26,13,0.5,0.0015443805741784862,0.03991880661896974,-0.08670914883932634
SBIN,CAM_BREAK_LONG,11,4,0.36363636363636365,-0.0009103151715149537,-0.011464060997286918,-0.08670914883932634
BHARTIARTL,STD_BOUNCE_LONG,18,7,0.3888888888888889,-0.0005171732673086197,-0.009912240394984062,-0.04901698312176961
BHARTIARTL,STD_BOUNCE_SHORT,23,13,0.5652173913043478,0.0010949392067610842,0.024210349454097724,-0.04901698312176961
BHARTIARTL,STD_BREAK_LONG,10,6,0.6,0.007620568656012938,0.07800878733324446,-0.04901698312176961
BHARTIARTL,FIB_BOUNCE_LONG,17,5,0.29411764705882354,-0.0034315026623440432,-0.05713647541977973,-0.04901698312176961
BHARTIARTL,FIB_BOUNCE_SHORT,27,17,0.6296296296296297,0.0015216274532956898,0.03990990157612284,-0.04901698312176961
BHARTIARTL,CAM_L3_LONG,30,15,0.5,0.0022341140909451127,0.06825340113455147,-0.04901698312176961
BHARTIARTL,CAM_S3_SHORT,29,13,0.4482758620689655,0.000743449337419663,0.020813898479641324,-0.04901698312176961
BHARTIARTL,CAM_BREAK_LONG,10,6,0.6,0.007724329005043873,0.07913478177472233,-0.04901698312176961
LT,STD_BOUNCE_LONG,21,9,0.42857142857142855,-0.006461493452322407,-0.12957852603896747,0.019624658501152803
LT,STD_BOUNCE_SHORT,19,10,0.5263157894736842,-8.923608942174887e-05,-0.0025965627227004795,0.019624658501152803
LT,STD_BREAK_LONG,14,5,0.35714285714285715,-0.005090764472121367,-0.07055342874074877,0.019624658501152803
LT,FIB_BOUNCE_LONG,19,7,0.3684210526315789,-0.0028951538267015563,-0.05407673472198571,0.019624658501152803
LT,FIB_BOUNCE_SHORT,18,8,0.4444444444444444,-0.0003860566534873615,-0.007765093654220179,0.019624658501152803
LT,CAM_L3_LONG,21,3,0.14285714285714285,-0.004905472025095498,-0.09832466529051365,0.019624658501152803
LT,CAM_S3_SHORT,19,9,0.47368421052631576,-0.00013760531108694533,-0.0031223907656915406,0.019624658501152803
LT,CAM_BREAK_LONG,16,6,0.375,-0.0033522935840789234,-0.05462608662761126,0.019624658501152803
KOTAKBANK,STD_BOUNCE_LONG,17,8,0.47058823529411764,0.0005228520962496477,0.00747033295910704,0.004529571560382362
KOTAKBANK,STD_BOUNCE_SHORT,22,14,0.6363636363636364,0.0024831567160067303,0.055636104744163584,0.004529571560382362
KOTAKBANK,STD_BREAK_LONG,11,7,0.6363636363636364,0.0024681039353471423,0.02645946883019512,0.004529571560382362
KOTAKBANK,FIB_BOUNCE_LONG,19,11,0.5789473684210527,0.0027722757722619703,0.05302783964502167,0.004529571560382362
KOTAKBANK,FIB_BOUNCE_SHORT,28,14,0.5,0.0011992482308067294,0.03346895799566596,0.004529571560382362
KOTAKBANK,CAM_L3_LONG,23,8,0.34782608695652173,-0.0011602013848482772,-0.027301858349287444,0.004529571560382362
KOTAKBANK,CAM_S3_SHORT,27,13,0.48148148148148145,0.0017877996551270159,0.04810204609806368,0.004529571560382362
KOTAKBANK,CAM_BREAK_LONG,9,5,0.5555555555555556,0.0002697860657769767,0.001694855482902824,0.004529571560382362
BAJFINANCE,STD_BOUNCE_LONG,20,9,0.45,-0.0021283920570171143,-0.04483440549837836,-0.05751293951185277
BAJFINANCE,STD_BOUNCE_SHORT,15,4,0.26666666666666666,-0.0035900193613238964,-0.05363380693488928,-0.05751293951185277
BAJFINANCE,STD_BREAK_LONG,17,6,0.35294117647058826,-0.006248957797979737,-0.1032356412169293,-0.05751293951185277
BAJFINANCE,FIB_BOUNCE_LONG,20,11,0.55,0.0011917591750904345,0.021807590938671684,-0.05751293951185277
BAJFINANCE,FIB_BOUNCE_SHORT,17,7,0.4117647058823529,-0.0017983233031382273,-0.03149017479685701,-0.05751293951185277
BAJFINANCE,CAM_L3_LONG,26,11,0.4230769230769231,0.0008922600282904637,0.021980384420304366,-0.05751293951185277
BAJFINANCE,CAM_S3_SHORT,22,12,0.5454545454545454,0.003155800360256912,0.07081615927336626,-0.05751293951185277
BAJFINANCE,CAM_BREAK_LONG,16,6,0.375,-0.003985448933833499,-0.06346561526767025,-0.05751293951185277
AXISBANK,STD_BOUNCE_LONG,16,9,0.5625,-4.687892763433066e-05,-0.001975946582604471,0.020336839384355487
AXISBANK,STD_BOUNCE_SHORT,25,13,0.52,-0.0018978914668859393,-0.04793635448993838,0.020336839384355487
AXISBANK,STD_BREAK_LONG,16,8,0.5,0.001372123508219282,0.02002422236529222,0.020336839384355487
AXISBANK,FIB_BOUNCE_LONG,17,8,0.47058823529411764,-0.0006792377507022542,-0.01245477862178268,0.020336839384355487
AXISBANK,FIB_BOUNCE_SHORT,25,12,0.48,-0.0034816569540765396,-0.08510238643498669,0.020336839384355487
AXISBANK,CAM_L3_LONG,21,8,0.38095238095238093,0.0006325275677251918,0.012512073683171865,0.020336839384355487
AXISBANK,CAM_S3_SHORT,30,10,0.3333333333333333,-0.0009418643015488445,-0.02897779861320493,0.020336839384355487
AXISBANK,CAM_BREAK_LONG,16,8,0.5,0.001372123508219282,0.02002422236529222,0.020336839384355487
ASIANPAINT,STD_BOUNCE_LONG,20,9,0.45,-0.0009894465783653328,-0.02080762292732896,0.222577466660701
ASIANPAINT,STD_BOUNCE_SHORT,23,10,0.43478260869565216,0.0004911963607887931,0.009210527757680831,0.222577466660701
ASIANPAINT,STD_BREAK_LONG,20,9,0.45,0.0018665329742377002,0.03593134774045459,0.222577466660701
ASIANPAINT,FIB_BOUNCE_LONG,15,8,0.5333333333333333,0.003275927611153658,0.049056612550513634,0.222577466660701
ASIANPAINT,FIB_BOUNCE_SHORT,22,8,0.36363636363636365,-0.003140492037069943,-0.06865244208247534,0.222577466660701
ASIANPAINT,CAM_L3_LONG,16,7,0.4375,0.0023341117485176648,0.03736123352639287,0.222577466660701
ASIANPAINT,CAM_S3_SHORT,29,11,0.3793103448275862,-0.00025705307587048154,-0.008315274685366858,0.222577466660701
ASIANPAINT,CAM_BREAK_LONG,17,7,0.4117647058823529,0.0008472670373979487,0.012991829714100955,0.222577466660701
MARUTI,STD_BOUNCE_LONG,21,9,0.42857142857142855,-0.001015972510717833,-0.023197944379805602,-0.032203138880663285
MARUTI,STD_BOUNCE_SHORT,18,9,0.5,0.0016289939019590862,0.02935015331172508,-0.032203138880663285
MARUTI,STD_BREAK_LONG,13,5,0.38461538461538464,-0.004740506415183643,-0.0609287045241782,-0.032203138880663285
MARUTI,FIB_BOUNCE_LONG,19,8,0.42105263157894735,0.00014988622295383634,0.0012758572464663942,-0.032203138880663285
MARUTI,FIB_BOUNCE_SHORT,26,14,0.5384615384615384,0.0023640650083947257,0.0620002681395706,-0.032203138880663285
MARUTI,CAM_L3_LONG,26,13,0.5,0.003172175478534408,0.08407176893490886,-0.032203138880663285
