stock,strategy,trades,wins,win_rate,avg_ret,total_ret,bh_ret,edge_vs_bh
ASIANPAINT,FIB_S1_BOUNCE_LONG,32,13,0.40625,-0.00015529093154421577,-0.005477897639346807,0.2227272727272726,-0.22820517036661941
ASIANPAINT,FIB_R1_BOUNCE_SHORT,35,14,0.4,-8.454930174109407e-05,-0.004004248617867301,0.2227272727272726,-0.2267315213451399
ASIANPAINT,CAM_L3_LONG,33,17,0.5151515151515151,0.0002683680299161001,0.008190121133695438,0.2227272727272726,-0.21453715159357717
ASIANPAINT,CAM_S3_SHORT,41,16,0.3902439024390244,-0.0001875439009469999,-0.008997559704484903,0.2227272727272726,-0.2317248324317575
ASIANPAINT,CAM_R4_BREAKOUT_LONG,25,9,0.36,-0.0036109461831179,-0.08706706790028929,0.2227272727272726,-0.3097943406275619
ASIANPAINT,CAM_S4_BREAKDOWN_SHORT,15,7,0.4666666666666667,-0.0004112183442677999,-0.006479398619672061,0.2227272727272726,-0.22920667134694467
MARUTI,STD_S1_BOUNCE_LONG,30,14,0.4666666666666667,0.0014173046819019,0.04143737515265067,-0.0479710144927536,0.08940838964540426
MARUTI,STD_R1_BOUNCE_SHORT,27,17,0.6296296296296297,0.0028870081414080003,0.07939185512745794,-0.0479710144927536,0.12736286962021154
MARUTI,STD_R1_BREAKOUT_LONG,20,7,0.35,-0.0062800415414342,-0.11938153470812274,-0.0479710144927536,-0.07141052021536914
MARUTI,STD_S1_BREAKDOWN_SHORT,23,10,0.4347826086956521,-0.0035721640258098,-0.0797704561018795,-0.0479710144927536,-0.03179944160912589
MARUTI,FIB_S1_BOUNCE_LONG,33,14,0.4242424242424242,0.0003327419388418001,0.010109240698688682,-0.0479710144927536,0.05808025519144228
MARUTI,FIB_R1_BOUNCE_SHORT,37,22,0.5945945945945946,0.00313137201309,0.120568164325769,-0.0479710144927536,0.1685391788185226
MARUTI,CAM_L3_LONG,39,17,0.4358974358974359,0.0008859023700220001,0.03329044337291487,-0.0479710144927536,0.08126145786566846
MARUTI,CAM_S3_SHORT,44,25,0.5681818181818182,0.003797777866958,0.17886824687685987,-0.0479710144927536,0.22683926136961347
MARUTI,CAM_R4_BREAKOUT_LONG,19,3,0.1578947368421052,-0.0056275754180283,-0.10226695422084686,-0.0479710144927536,-0.05429593972809326
MARUTI,CAM_S4_BREAKDOWN_SHORT,21,6,0.2857142857142857,-0.0013676396008019999,-0.0290923780897705,-0.0479710144927536,0.018878636402983102
HCLTECH,STD_S1_BOUNCE_LONG,30,19,0.6333333333333333,0.0033725687510515,0.10376731749778711,-0.1624812030075187,0.2662485205053058
HCLTECH,STD_R1_BOUNCE_SHORT,23,13,0.5652173913043478,0.00042021337697510007,0.00873849306236818,-0.1624812030075187,0.17121969606988688
HCLTECH,STD_R1_BREAKOUT_LONG,21,5,0.238095238095238,-0.0046348845046329,-0.09350792386843532,-0.1624812030075187,0.06897327913908338
HCLTECH,STD_S1_BREAKDOWN_SHORT,20,6,0.3,-0.0070679819961745995,-0.1351477094945217,-0.1624812030075187,0.027333493512996992
HCLTECH,FIB_S1_BOUNCE_LONG,42,24,0.5714285714285714,0.0026604245058826,0.1156914802413953,-0.1624812030075187,0.278172683248914
HCLTECH,FIB_R1_BOUNCE_SHORT,31,15,0.4838709677419355,0.0012422748281848,0.038259737021889784,-0.1624812030075187,0.20074094002940848
HCLTECH,CAM_L3_LONG,43,20,0.4651162790697674,0.00168190819448,0.07226207193019829,-0.1624812030075187,0.234743274937717
HCLTECH,CAM_S3_SHORT,39,21,0.5384615384615384,0.0022299168381383003,0.08892314599592299,-0.1624812030075187,0.25140434900344166
HCLTECH,CAM_R4_BREAKOUT_LONG,19,7,0.3684210526315789,-0.0038853496331567997,-0.07174190513329792,-0.1624812030075187,0.09073929787422078
HCLTECH,CAM_S4_BREAKDOWN_SHORT,17,7,0.4117647058823529,-0.0046019984043358,-0.0781578043845571,-0.1624812030075187,0.08432339862296159
SUNPHARMA,STD_S1_BOUNCE_LONG,28,17,0.6071428571428571,0.0006601362588868001,0.01784683040635815,0.0147216425066274,0.0031251878997307497
SUNPHARMA,STD_R1_BOUNCE_SHORT,29,17,0.5862068965517241,0.0015119710578898001,0.04371165403931254,0.0147216425066274,0.028990011532685142
SUNPHARMA,STD_R1_BREAKOUT_LONG,22,10,0.4545454545454545,-0.0012870280530921,-0.028356359235640394,0.0147216425066274,-0.043078001742267794
